"objectid","event_id","event_date","event_year","event_month","event_dow","event_hour","event_type","division","occurrence_created","apprehension_made","hood_158","neighbourhood_158"
3529,1632758,"2014-03-05",2014,"March","Wednesday",5,"Person in Crisis","D53","No","No","055","Thorncliffe Park (55)"
3530,1634740,"2014-03-05",2014,"March","Wednesday",12,"Overdose","D14","No","No","084","Little Portugal (84)"
3531,1636524,"2014-03-05",2014,"March","Wednesday",17,"Person in Crisis","D14","Yes","No","162","West Queen West (162)"
3532,1633198,"2014-03-05",2014,"March","Wednesday",7,"Person in Crisis","D43","No","No","136","West Hill (136)"
3533,1633080,"2014-03-05",2014,"March","Wednesday",7,"Person in Crisis","D13","Yes","Yes","096","Casa Loma (96)"
3534,1635183,"2014-03-05",2014,"March","Wednesday",13,"Person in Crisis","D51","No","No","168","Downtown Yonge East (168)"
3535,1635803,"2014-03-05",2014,"March","Wednesday",15,"Person in Crisis","D51","No","No","072","Regent Park (72)"
3536,1634865,"2014-03-05",2014,"March","Wednesday",12,"Suicide-related","D14","Yes","No","165","Harbourfront-CityPlace (165)"
3537,1632136,"2014-03-05",2014,"March","Wednesday",NA,"Person in Crisis","D43","No","No","139","Scarborough Village (139)"
3538,1633758,"2014-03-05",2014,"March","Wednesday",9,"Overdose","D55","No","No","070","South Riverdale (70)"
3539,1634271,"2014-03-05",2014,"March","Wednesday",11,"Person in Crisis","D14","No","No","085","South Parkdale (85)"
3540,1635526,"2014-03-05",2014,"March","Wednesday",14,"Person in Crisis","D52","Yes","Yes","079","University (79)"
3541,1635010,"2014-03-05",2014,"March","Wednesday",13,"Suicide-related","D43","Yes","No","136","West Hill (136)"
3542,1636038,"2014-03-05",2014,"March","Wednesday",15,"Person in Crisis","D51","No","No","074","North St.James Town (74)"
3543,1635563,"2014-03-05",2014,"March","Wednesday",14,"Person in Crisis","D53","No","No","095","Annex (95)"
3544,1638279,"2014-03-05",2014,"March","Wednesday",23,"Suicide-related","D22","Yes","Yes","019","Long Branch (19)"
3545,1636832,"2014-03-05",2014,"March","Wednesday",18,"Overdose","D52","No","No","095","Annex (95)"
3546,1634774,"2014-03-05",2014,"March","Wednesday",12,"Suicide-related","D52","No","No","079","University (79)"
3547,1635289,"2014-03-05",2014,"March","Wednesday",14,"Suicide-related","D23","No","No","004","Rexdale-Kipling (4)"
3548,1635177,"2014-03-05",2014,"March","Wednesday",13,"Person in Crisis","D13","Yes","No","094","Wychwood (94)"
3549,1632320,"2014-03-05",2014,"March","Wednesday",1,"Person in Crisis","D55","No","No","064","Woodbine Corridor (64)"
3550,1635099,"2014-03-05",2014,"March","Wednesday",13,"Suicide-related","D23","No","No","001","West Humber-Clairville (1)"
3551,1634631,"2014-03-05",2014,"March","Wednesday",12,"Suicide-related","D11","Yes","No","088","High Park North (88)"
3552,1635544,"2014-03-05",2014,"March","Wednesday",14,"Suicide-related","D42","Yes","Yes","118","Tam O'Shanter-Sullivan (118)"
3553,1633499,"2014-03-05",2014,"March","Wednesday",8,"Person in Crisis","D32","Yes","Yes","038","Lansing-Westgate (38)"
3554,1635223,"2014-03-05",2014,"March","Wednesday",13,"Suicide-related","D54","No","No","066","Danforth (66)"
3555,1635840,"2014-03-05",2014,"March","Wednesday",15,"Person in Crisis","D32","Yes","Yes","050","Newtonbrook East (50)"
3556,1632366,"2014-03-05",2014,"March","Wednesday",1,"Overdose","D22","Yes","No","158","Islington (158)"
3557,1638093,"2014-03-05",2014,"March","Wednesday",22,"Person in Crisis","D11","Yes","No","171","Junction-Wallace Emerson (171)"
3558,1635639,"2014-03-05",2014,"March","Wednesday",15,"Suicide-related","D23","Yes","No","002","Mount Olive-Silverstone-Jamestown (2)"
3559,1632226,"2014-03-05",2014,"March","Wednesday",NA,"Person in Crisis","D33","No","No","042","Banbury-Don Mills (42)"
3560,1632493,"2014-03-05",2014,"March","Wednesday",2,"Person in Crisis","D22","No","No","016","Stonegate-Queensway (16)"
3561,1635090,"2014-03-05",2014,"March","Wednesday",13,"Suicide-related","D11","No","No","171","Junction-Wallace Emerson (171)"
3562,1638055,"2014-03-05",2014,"March","Wednesday",22,"Person in Crisis","D53","No","No","095","Annex (95)"
3563,1634295,"2014-03-05",2014,"March","Wednesday",11,"Suicide-related","D55","Yes","Yes","062","East End-Danforth (62)"
3564,1635488,"2014-03-05",2014,"March","Wednesday",14,"Suicide-related","D32","Yes","Yes","036","Newtonbrook West (36)"
3565,1632550,"2014-03-05",2014,"March","Wednesday",3,"Person in Crisis","D32","No","No","151","Yonge-Doris (151)"
3566,1637114,"2014-03-05",2014,"March","Wednesday",19,"Overdose","D41","Yes","Yes","120","Clairlea-Birchmount (120)"
3567,1632246,"2014-03-05",2014,"March","Wednesday",1,"Overdose","D51","Yes","No","168","Downtown Yonge East (168)"
3568,1635512,"2014-03-05",2014,"March","Wednesday",14,"Person in Crisis","D22","No","No","018","New Toronto (18)"
3569,1635333,"2014-03-05",2014,"March","Wednesday",14,"Person in Crisis","D31","No","No","024","Black Creek (24)"
3570,1635094,"2014-03-05",2014,"March","Wednesday",13,"Suicide-related","D32","Yes","Yes","035","Westminster-Branson (35)"
3571,1637564,"2014-03-05",2014,"March","Wednesday",20,"Person in Crisis","D12","Yes","Yes","030","Brookhaven-Amesbury (30)"
3572,1638232,"2014-03-05",2014,"March","Wednesday",23,"Suicide-related","D11","No","No","090","Junction Area (90)"
3573,1632232,"2014-03-05",2014,"March","Wednesday",NA,"Overdose","D42","Yes","Yes","146","Malvern East (146)"
3574,1635865,"2014-03-05",2014,"March","Wednesday",15,"Suicide-related","D31","No","No","027","York University Heights (27)"
3575,1633818,"2014-03-05",2014,"March","Wednesday",9,"Person in Crisis","D53","Yes","Yes","100","Yonge-Eglinton (100)"
3576,1635674,"2014-03-05",2014,"March","Wednesday",15,"Person in Crisis","D14","Yes","Yes","085","South Parkdale (85)"
3577,1638101,"2014-03-05",2014,"March","Wednesday",22,"Overdose","D52","Yes","Yes","079","University (79)"
3578,1634286,"2014-03-05",2014,"March","Wednesday",11,"Suicide-related","D41","No","No","123","Cliffcrest (123)"
3579,1634076,"2014-03-05",2014,"March","Wednesday",10,"Person in Crisis","D55","Yes","Yes","064","Woodbine Corridor (64)"
3580,1633985,"2014-03-05",2014,"March","Wednesday",10,"Person in Crisis","D12","No","No","112","Beechborough-Greenbrook (112)"
3581,1634999,"2014-03-05",2014,"March","Wednesday",13,"Suicide-related","D32","No","No","038","Lansing-Westgate (38)"
3582,1636899,"2014-03-05",2014,"March","Wednesday",18,"Person in Crisis","D12","No","No","029","Maple Leaf (29)"
3583,1634679,"2014-03-05",2014,"March","Wednesday",12,"Suicide-related","D14","No","No","162","West Queen West (162)"
3584,1644061,"2014-03-06",2014,"March","Thursday",21,"Person in Crisis","D13","No","No","107","Oakwood Village (107)"
3585,1642885,"2014-03-06",2014,"March","Thursday",17,"Person in Crisis","D43","No","No","139","Scarborough Village (139)"
3586,1638671,"2014-03-06",2014,"March","Thursday",2,"Person in Crisis","D11","No","No","090","Junction Area (90)"
3587,1639017,"2014-03-06",2014,"March","Thursday",6,"Person in Crisis","D52","No","No","164","Wellington Place (164)"
3588,1642680,"2014-03-06",2014,"March","Thursday",17,"Suicide-related","D32","No","No","105","Lawrence Park North (105)"
3589,1640777,"2014-03-06",2014,"March","Thursday",11,"Person in Crisis","D11","No","No","088","High Park North (88)"
3590,1644130,"2014-03-06",2014,"March","Thursday",21,"Person in Crisis","D14","No","No","095","Annex (95)"
3591,1640851,"2014-03-06",2014,"March","Thursday",12,"Overdose","D41","Yes","No","120","Clairlea-Birchmount (120)"
3592,1640036,"2014-03-06",2014,"March","Thursday",9,"Person in Crisis","D52","No","No","168","Downtown Yonge East (168)"
3593,1640225,"2014-03-06",2014,"March","Thursday",10,"Person in Crisis","D43","No","No","140","Guildwood (140)"
3594,1643589,"2014-03-06",2014,"March","Thursday",19,"Person in Crisis","D12","No","No","028","Rustic (28)"
3595,1639506,"2014-03-06",2014,"March","Thursday",8,"Person in Crisis","D52","No","No","169","Bay-Cloverhill (169)"
3596,1644116,"2014-03-06",2014,"March","Thursday",21,"Person in Crisis","D52","Yes","No","079","University (79)"
3597,1639708,"2014-03-06",2014,"March","Thursday",9,"Overdose","D22","No","No","160","Mimico-Queensway (160)"
3598,1644381,"2014-03-06",2014,"March","Thursday",22,"Person in Crisis","D32","No","No","038","Lansing-Westgate (38)"
3599,1642465,"2014-03-06",2014,"March","Thursday",16,"Person in Crisis","D43","Yes","Yes","139","Scarborough Village (139)"
3600,1642730,"2014-03-06",2014,"March","Thursday",17,"Suicide-related","D51","No","No","168","Downtown Yonge East (168)"
3601,1641291,"2014-03-06",2014,"March","Thursday",13,"Person in Crisis","D51","No","No","167","Church-Wellesley (167)"
3602,1643230,"2014-03-06",2014,"March","Thursday",18,"Suicide-related","D23","No","No","003","Thistletown-Beaumond Heights (3)"
3603,1642312,"2014-03-06",2014,"March","Thursday",16,"Person in Crisis","D54","Yes","Yes","044","Flemingdon Park (44)"
3604,1640764,"2014-03-06",2014,"March","Thursday",11,"Suicide-related","D23","No","No","007","Willowridge-Martingrove-Richview (7)"
3605,1638689,"2014-03-06",2014,"March","Thursday",2,"Person in Crisis","D22","No","No","158","Islington (158)"
3606,1640624,"2014-03-06",2014,"March","Thursday",11,"Suicide-related","D14","Yes","Yes","078","Kensington-Chinatown (78)"
3607,1638857,"2014-03-06",2014,"March","Thursday",4,"Person in Crisis","D22","No","No","020","Alderwood (20)"
3608,1641242,"2014-03-06",2014,"March","Thursday",13,"Person in Crisis","D54","No","No","061","Taylor-Massey (61)"
3609,1643432,"2014-03-06",2014,"March","Thursday",19,"Person in Crisis","D13","No","No","171","Junction-Wallace Emerson (171)"
3610,1642771,"2014-03-06",2014,"March","Thursday",17,"Person in Crisis","D54","No","No","058","Old East York (58)"
3611,1644593,"2014-03-06",2014,"March","Thursday",23,"Suicide-related","D43","No","No","156","Bendale-Glen Andrew (156)"
3612,1641584,"2014-03-06",2014,"March","Thursday",14,"Person in Crisis","D52","No","No","170","Yonge-Bay Corridor (170)"
3613,1641470,"2014-03-06",2014,"March","Thursday",13,"Person in Crisis","D14","No","No","162","West Queen West (162)"
3614,1640838,"2014-03-06",2014,"March","Thursday",12,"Suicide-related","D41","Yes","Yes","124","Kennedy Park (124)"
3615,1642995,"2014-03-06",2014,"March","Thursday",18,"Person in Crisis","D14","No","No","085","South Parkdale (85)"
3616,1640589,"2014-03-06",2014,"March","Thursday",11,"Person in Crisis","D11","No","No","090","Junction Area (90)"
3617,1644541,"2014-03-06",2014,"March","Thursday",23,"Suicide-related","D14","Yes","Yes","085","South Parkdale (85)"
3618,1642329,"2014-03-06",2014,"March","Thursday",16,"Suicide-related","D22","No","No","009","Edenbridge-Humber Valley (9)"
3619,1642171,"2014-03-06",2014,"March","Thursday",15,"Suicide-related","D52","Yes","Yes","170","Yonge-Bay Corridor (170)"
3620,1640943,"2014-03-06",2014,"March","Thursday",12,"Overdose","D14","Yes","Yes","164","Wellington Place (164)"
3621,1640497,"2014-03-06",2014,"March","Thursday",11,"Person in Crisis","D31","No","No","027","York University Heights (27)"
3622,1642883,"2014-03-06",2014,"March","Thursday",17,"Person in Crisis","D12","Yes","Yes","113","Weston (113)"
3623,1643192,"2014-03-06",2014,"March","Thursday",18,"Person in Crisis","D43","Yes","Yes","136","West Hill (136)"
3624,1641464,"2014-03-06",2014,"March","Thursday",13,"Suicide-related","D23","No","No","006","Kingsview Village-The Westway (6)"
3625,1641467,"2014-03-06",2014,"March","Thursday",13,"Person in Crisis","D43","No","No","133","Centennial Scarborough (133)"
3626,1642933,"2014-03-06",2014,"March","Thursday",17,"Suicide-related","D32","No","No","039","Bedford Park-Nortown (39)"
3627,1644250,"2014-03-06",2014,"March","Thursday",22,"Suicide-related","D42","No","No","118","Tam O'Shanter-Sullivan (118)"
3628,1642592,"2014-03-06",2014,"March","Thursday",17,"Person in Crisis","D54","Yes","Yes","054","O'Connor-Parkview (54)"
3629,1644158,"2014-03-06",2014,"March","Thursday",21,"Person in Crisis","D33","No","No","052","Bayview Village (52)"
3630,1638933,"2014-03-06",2014,"March","Thursday",5,"Person in Crisis","D51","No","No","168","Downtown Yonge East (168)"
3631,1644215,"2014-03-06",2014,"March","Thursday",22,"Person in Crisis","D22","No","No","012","Markland Wood (12)"
3632,1642586,"2014-03-06",2014,"March","Thursday",17,"Suicide-related","D41","Yes","Yes","138","Eglinton East (138)"
3633,1643891,"2014-03-06",2014,"March","Thursday",20,"Person in Crisis","D12","Yes","Yes","115","Mount Dennis (115)"
3634,1639168,"2014-03-06",2014,"March","Thursday",6,"Person in Crisis","D11","No","No","171","Junction-Wallace Emerson (171)"
3635,1642417,"2014-03-06",2014,"March","Thursday",16,"Person in Crisis","D22","Yes","Yes","158","Islington (158)"
3636,1640064,"2014-03-06",2014,"March","Thursday",9,"Person in Crisis","D33","No","No","042","Banbury-Don Mills (42)"
3637,1645890,"2014-03-07",2014,"March","Friday",8,"Suicide-related","D42","Yes","Yes","146","Malvern East (146)"
3638,1650972,"2014-03-07",2014,"March","Friday",23,"Person in Crisis","D13","No","No","092","Corso Italia-Davenport (92)"
3639,1649669,"2014-03-07",2014,"March","Friday",19,"Suicide-related","D42","No","No","130","Milliken (130)"
3640,1646575,"2014-03-07",2014,"March","Friday",10,"Person in Crisis","D55","Yes","Yes","070","South Riverdale (70)"
3641,1649035,"2014-03-07",2014,"March","Friday",17,"Person in Crisis","D14","No","No","078","Kensington-Chinatown (78)"
3642,1646562,"2014-03-07",2014,"March","Friday",10,"Suicide-related","D31","No","No","025","Glenfield-Jane Heights (25)"
3643,1645828,"2014-03-07",2014,"March","Friday",8,"Person in Crisis","D14","No","No","095","Annex (95)"
3644,1644655,"2014-03-07",2014,"March","Friday",NA,"Suicide-related","D11","No","No","088","High Park North (88)"
3645,1646673,"2014-03-07",2014,"March","Friday",10,"Suicide-related","D54","No","No","044","Flemingdon Park (44)"
3646,1650753,"2014-03-07",2014,"March","Friday",22,"Person in Crisis","D14","No","No","078","Kensington-Chinatown (78)"
3647,1648844,"2014-03-07",2014,"March","Friday",16,"Suicide-related","D14","No","No","078","Kensington-Chinatown (78)"
3648,1647478,"2014-03-07",2014,"March","Friday",13,"Person in Crisis","D13","Yes","No","108","Briar Hill-Belgravia (108)"
3649,1649076,"2014-03-07",2014,"March","Friday",17,"Person in Crisis","D33","No","No","053","Henry Farm (53)"
3650,1647607,"2014-03-07",2014,"March","Friday",13,"Person in Crisis","D42","Yes","Yes","146","Malvern East (146)"
3651,1646181,"2014-03-07",2014,"March","Friday",9,"Person in Crisis","D33","No","No","052","Bayview Village (52)"
3652,1648973,"2014-03-07",2014,"March","Friday",17,"Person in Crisis","D41","No","No","125","Ionview (125)"
3653,1644668,"2014-03-07",2014,"March","Friday",NA,"Overdose","D51","No","No","168","Downtown Yonge East (168)"
3654,1647878,"2014-03-07",2014,"March","Friday",14,"Person in Crisis","D14","No","No","078","Kensington-Chinatown (78)"
3655,1649711,"2014-03-07",2014,"March","Friday",19,"Person in Crisis","D54","No","No","067","Playter Estates-Danforth (67)"
3656,1648789,"2014-03-07",2014,"March","Friday",16,"Person in Crisis","D23","No","No","006","Kingsview Village-The Westway (6)"
3657,1647755,"2014-03-07",2014,"March","Friday",13,"Person in Crisis","D54","Yes","Yes","054","O'Connor-Parkview (54)"
3658,1650141,"2014-03-07",2014,"March","Friday",20,"Suicide-related","D42","No","No","130","Milliken (130)"
3659,1644850,"2014-03-07",2014,"March","Friday",1,"Person in Crisis","D12","No","No","115","Mount Dennis (115)"
3660,1646856,"2014-03-07",2014,"March","Friday",11,"Person in Crisis","D31","No","No","024","Black Creek (24)"
3661,1646676,"2014-03-07",2014,"March","Friday",10,"Person in Crisis","D13","No","No","102","Forest Hill North (102)"
3662,1648254,"2014-03-07",2014,"March","Friday",15,"Person in Crisis","D23","No","No","005","Elms-Old Rexdale (5)"
3663,1649881,"2014-03-07",2014,"March","Friday",20,"Person in Crisis","D51","No","No","167","Church-Wellesley (167)"
3664,1647825,"2014-03-07",2014,"March","Friday",14,"Person in Crisis","D42","No","No","145","Malvern West (145)"
3665,1644724,"2014-03-07",2014,"March","Friday",NA,"Suicide-related","D31","No","No","025","Glenfield-Jane Heights (25)"
3666,1647727,"2014-03-07",2014,"March","Friday",13,"Person in Crisis","D55","No","No","070","South Riverdale (70)"
3667,1647874,"2014-03-07",2014,"March","Friday",14,"Person in Crisis","D31","Yes","Yes","024","Black Creek (24)"
3668,1650151,"2014-03-07",2014,"March","Friday",20,"Person in Crisis","D53","No","No","174","South Eglinton-Davisville (174)"
3669,1648155,"2014-03-07",2014,"March","Friday",14,"Person in Crisis","D11","Yes","Yes","088","High Park North (88)"
3670,1648883,"2014-03-07",2014,"March","Friday",16,"Overdose","D51","No","No","168","Downtown Yonge East (168)"
3671,1648166,"2014-03-07",2014,"March","Friday",14,"Suicide-related","D43","Yes","No","141","Golfdale-Cedarbrae-Woburn (141)"
3672,1647439,"2014-03-07",2014,"March","Friday",13,"Person in Crisis","D54","Yes","Yes","066","Danforth (66)"
3673,1647914,"2014-03-07",2014,"March","Friday",14,"Overdose","D33","Yes","No","149","Parkwoods-O'Connor Hills (149)"
3674,1644746,"2014-03-07",2014,"March","Friday",NA,"Person in Crisis","D22","No","No","020","Alderwood (20)"
3675,1647708,"2014-03-07",2014,"March","Friday",13,"Person in Crisis","D14","No","No","080","Palmerston-Little Italy (80)"
3676,1650161,"2014-03-07",2014,"March","Friday",20,"Suicide-related","D13","No","No","106","Humewood-Cedarvale (106)"
3677,1646472,"2014-03-07",2014,"March","Friday",10,"Suicide-related","D22","Yes","Yes","161","Humber Bay Shores (161)"
3678,1648855,"2014-03-07",2014,"March","Friday",16,"Person in Crisis","D42","No","No","147","L'Amoreaux West (147)"
3679,1649400,"2014-03-07",2014,"March","Friday",18,"Overdose","D14","Yes","No","083","Dufferin Grove (83)"
3680,1647631,"2014-03-07",2014,"March","Friday",13,"Person in Crisis","D53","No","No","173","North Toronto (173)"
3681,1648588,"2014-03-07",2014,"March","Friday",16,"Person in Crisis","D43","No","No","135","Morningside (135)"
3682,1650417,"2014-03-07",2014,"March","Friday",21,"Suicide-related","D14","No","No","078","Kensington-Chinatown (78)"
3683,1646304,"2014-03-07",2014,"March","Friday",9,"Person in Crisis","D54","Yes","Yes","062","East End-Danforth (62)"
3684,1645001,"2014-03-07",2014,"March","Friday",2,"Person in Crisis","D11","No","No","087","High Park-Swansea (87)"
3685,1647493,"2014-03-07",2014,"March","Friday",13,"Suicide-related","D11","No","No","088","High Park North (88)"
3686,1647510,"2014-03-07",2014,"March","Friday",13,"Suicide-related","D33","Yes","No","149","Parkwoods-O'Connor Hills (149)"
3687,1650131,"2014-03-07",2014,"March","Friday",20,"Person in Crisis","D11","No","No","088","High Park North (88)"
3688,1650407,"2014-03-07",2014,"March","Friday",21,"Person in Crisis","D14","Yes","No","162","West Queen West (162)"
3689,1646836,"2014-03-07",2014,"March","Friday",11,"Overdose","D52","Yes","No","079","University (79)"
3690,1649844,"2014-03-07",2014,"March","Friday",19,"Person in Crisis","D14","Yes","No","078","Kensington-Chinatown (78)"
3691,1646110,"2014-03-07",2014,"March","Friday",9,"Person in Crisis","D14","Yes","No","085","South Parkdale (85)"
3692,1650158,"2014-03-07",2014,"March","Friday",20,"Overdose","D32","No","No","050","Newtonbrook East (50)"
3693,1644759,"2014-03-07",2014,"March","Friday",NA,"Suicide-related","D14","Yes","No","085","South Parkdale (85)"
3694,1650273,"2014-03-07",2014,"March","Friday",21,"Suicide-related","D12","No","No","115","Mount Dennis (115)"
3695,1647731,"2014-03-07",2014,"March","Friday",13,"Person in Crisis","D51","No","No","073","Moss Park (73)"
3696,1647277,"2014-03-07",2014,"March","Friday",12,"Person in Crisis","D11","No","No","091","Weston-Pelham Park (91)"
3697,1650395,"2014-03-07",2014,"March","Friday",21,"Person in Crisis","D31","Yes","Yes","155","Downsview (155)"
3698,1646698,"2014-03-07",2014,"March","Friday",10,"Suicide-related","D33","No","No","053","Henry Farm (53)"
3699,1650440,"2014-03-07",2014,"March","Friday",21,"Suicide-related","D51","Yes","No","073","Moss Park (73)"
3700,1647321,"2014-03-07",2014,"March","Friday",12,"Person in Crisis","D53","No","No","098","Rosedale-Moore Park (98)"
3701,1649620,"2014-03-07",2014,"March","Friday",19,"Person in Crisis","D23","No","No","001","West Humber-Clairville (1)"
3702,1644920,"2014-03-07",2014,"March","Friday",2,"Overdose","D14","Yes","No","081","Trinity-Bellwoods (81)"
3703,1647130,"2014-03-07",2014,"March","Friday",12,"Person in Crisis","D12","No","No","028","Rustic (28)"
3704,1646634,"2014-03-07",2014,"March","Friday",10,"Suicide-related","D52","No","No","170","Yonge-Bay Corridor (170)"
3705,1647986,"2014-03-07",2014,"March","Friday",14,"Person in Crisis","D55","Yes","Yes","064","Woodbine Corridor (64)"
3706,1647833,"2014-03-07",2014,"March","Friday",14,"Person in Crisis","D14","No","No","085","South Parkdale (85)"
3707,1651634,"2014-03-08",2014,"March","Saturday",2,"Person in Crisis","D52","No","No","169","Bay-Cloverhill (169)"
3708,1653120,"2014-03-08",2014,"March","Saturday",11,"Suicide-related","D52","No","No","170","Yonge-Bay Corridor (170)"
3709,1655434,"2014-03-08",2014,"March","Saturday",18,"Person in Crisis","D52","No","No","170","Yonge-Bay Corridor (170)"
3710,1655984,"2014-03-08",2014,"March","Saturday",19,"Suicide-related","D52","Yes","No","079","University (79)"
3711,1653461,"2014-03-08",2014,"March","Saturday",12,"Suicide-related","D12","No","No","113","Weston (113)"
3712,1656138,"2014-03-08",2014,"March","Saturday",20,"Suicide-related","D51","No","No","073","Moss Park (73)"
3713,1656063,"2014-03-08",2014,"March","Saturday",20,"Person in Crisis","D11","No","No","087","High Park-Swansea (87)"
3714,1653291,"2014-03-08",2014,"March","Saturday",11,"Person in Crisis","D52","No","No","164","Wellington Place (164)"
3715,1653383,"2014-03-08",2014,"March","Saturday",11,"Person in Crisis","D13","No","No","094","Wychwood (94)"
3716,1655539,"2014-03-08",2014,"March","Saturday",18,"Suicide-related","D41","Yes","Yes","119","Wexford/Maryvale (119)"
3717,1654021,"2014-03-08",2014,"March","Saturday",13,"Person in Crisis","D23","Yes","Yes","001","West Humber-Clairville (1)"
3718,1657107,"2014-03-08",2014,"March","Saturday",23,"Suicide-related","D53","Yes","No","103","Lawrence Park South (103)"
3719,1656568,"2014-03-08",2014,"March","Saturday",21,"Person in Crisis","D55","Yes","No","069","Blake-Jones (69)"
3720,1654279,"2014-03-08",2014,"March","Saturday",14,"Overdose","D51","No","No","073","Moss Park (73)"
3721,1656387,"2014-03-08",2014,"March","Saturday",21,"Suicide-related","D11","Yes","No","084","Little Portugal (84)"
3722,1651631,"2014-03-08",2014,"March","Saturday",2,"Suicide-related","D14","No","No","162","West Queen West (162)"
3723,1652255,"2014-03-08",2014,"March","Saturday",6,"Person in Crisis","D43","Yes","No","139","Scarborough Village (139)"
3724,1655802,"2014-03-08",2014,"March","Saturday",19,"Person in Crisis","D31","Yes","No","027","York University Heights (27)"
3725,1652285,"2014-03-08",2014,"March","Saturday",6,"Person in Crisis","D22","Yes","Yes","016","Stonegate-Queensway (16)"
3726,1651093,"2014-03-08",2014,"March","Saturday",NA,"Person in Crisis","D51","No","No","074","North St.James Town (74)"
3727,1653893,"2014-03-08",2014,"March","Saturday",13,"Person in Crisis","D52","No","No","164","Wellington Place (164)"
3728,1656594,"2014-03-08",2014,"March","Saturday",22,"Suicide-related","D54","Yes","No","061","Taylor-Massey (61)"
3729,1656200,"2014-03-08",2014,"March","Saturday",20,"Person in Crisis","D54","No","No","043","Victoria Village (43)"
3730,1656036,"2014-03-08",2014,"March","Saturday",20,"Suicide-related","D51","No","No","073","Moss Park (73)"
3731,1653494,"2014-03-08",2014,"March","Saturday",12,"Person in Crisis","D51","No","No","073","Moss Park (73)"
3732,1651860,"2014-03-08",2014,"March","Saturday",3,"Person in Crisis","D43","No","No","156","Bendale-Glen Andrew (156)"
3733,1651416,"2014-03-08",2014,"March","Saturday",1,"Suicide-related","D33","No","No","042","Banbury-Don Mills (42)"
3734,1656670,"2014-03-08",2014,"March","Saturday",22,"Suicide-related","D51","No","No","073","Moss Park (73)"
3735,1652411,"2014-03-08",2014,"March","Saturday",7,"Person in Crisis","D55","No","No","068","North Riverdale (68)"
3736,1653339,"2014-03-08",2014,"March","Saturday",11,"Suicide-related","D32","Yes","Yes","034","Bathurst Manor (34)"
3737,1655345,"2014-03-08",2014,"March","Saturday",17,"Person in Crisis","D42","No","No","129","Agincourt North (129)"
3738,1656808,"2014-03-08",2014,"March","Saturday",22,"Person in Crisis","D11","No","No","087","High Park-Swansea (87)"
3739,1656038,"2014-03-08",2014,"March","Saturday",20,"Overdose","D32","No","No","031","Yorkdale-Glen Park (31)"
3740,1652723,"2014-03-08",2014,"March","Saturday",9,"Suicide-related","D22","Yes","No","018","New Toronto (18)"
3741,1656057,"2014-03-08",2014,"March","Saturday",20,"Person in Crisis","D13","No","No","092","Corso Italia-Davenport (92)"
3742,1653278,"2014-03-08",2014,"March","Saturday",11,"Person in Crisis","D52","Yes","No","078","Kensington-Chinatown (78)"
3743,1653406,"2014-03-08",2014,"March","Saturday",12,"Overdose","D22","Yes","No","012","Markland Wood (12)"
3744,1656287,"2014-03-08",2014,"March","Saturday",20,"Person in Crisis","D32","No","No","152","East Willowdale (152)"
3745,1652926,"2014-03-08",2014,"March","Saturday",10,"Person in Crisis","D54","No","No","067","Playter Estates-Danforth (67)"
3746,1651975,"2014-03-08",2014,"March","Saturday",4,"Person in Crisis","D54","No","No","061","Taylor-Massey (61)"
3747,1651537,"2014-03-08",2014,"March","Saturday",2,"Person in Crisis","D13","No","No","039","Bedford Park-Nortown (39)"
3748,1653851,"2014-03-08",2014,"March","Saturday",13,"Suicide-related","D42","Yes","No","147","L'Amoreaux West (147)"
3749,1651996,"2014-03-08",2014,"March","Saturday",4,"Person in Crisis","D42","No","No","129","Agincourt North (129)"
3750,1657765,"2014-03-09",2014,"March","Sunday",3,"Person in Crisis","D53","No","No","055","Thorncliffe Park (55)"
3751,1661663,"2014-03-09",2014,"March","Sunday",20,"Person in Crisis","D43","No","No","139","Scarborough Village (139)"
3752,1661972,"2014-03-09",2014,"March","Sunday",21,"Suicide-related","D33","No","No","149","Parkwoods-O'Connor Hills (149)"
3753,1657858,"2014-03-09",2014,"March","Sunday",3,"Suicide-related","D14","Yes","Yes","079","University (79)"
3754,1657556,"2014-03-09",2014,"March","Sunday",1,"Suicide-related","D23","Yes","No","003","Thistletown-Beaumond Heights (3)"
3755,1661148,"2014-03-09",2014,"March","Sunday",18,"Suicide-related","D52","No","No","170","Yonge-Bay Corridor (170)"
3756,1660773,"2014-03-09",2014,"March","Sunday",16,"Person in Crisis","D33","Yes","No","048","Hillcrest Village (48)"
3757,1657583,"2014-03-09",2014,"March","Sunday",1,"Person in Crisis","D13","Yes","Yes","107","Oakwood Village (107)"
3758,1662369,"2014-03-09",2014,"March","Sunday",23,"Suicide-related","D55","Yes","Yes","063","The Beaches (63)"
3759,1660966,"2014-03-09",2014,"March","Sunday",17,"Suicide-related","D54","No","No","059","Danforth East York (59)"
3760,1658657,"2014-03-09",2014,"March","Sunday",9,"Person in Crisis","D51","No","No","072","Regent Park (72)"
3761,1662344,"2014-03-09",2014,"March","Sunday",23,"Person in Crisis","D23","No","No","005","Elms-Old Rexdale (5)"
3762,1659691,"2014-03-09",2014,"March","Sunday",13,"Person in Crisis","D43","No","No","139","Scarborough Village (139)"
3763,1661330,"2014-03-09",2014,"March","Sunday",18,"Person in Crisis","D42","Yes","No","147","L'Amoreaux West (147)"
